JRCtransportMode;subsectorL3
Powered two-wheelers;trn_pass_road_LDV_2W
Passenger cars;trn_pass_road_LDV_4W
Motor coaches, buses and trolley buses;Bus_tmp_subsector_L3
Metro and tram, urban light rail;Passenger Rail_tmp_subsector_L3
Conventional passenger trains;Passenger Rail_tmp_subsector_L3
High speed passenger trains;HSR_tmp_subsector_L3
Domestic aviation;Domestic Aviation_tmp_subsector_L3
International - Intra-EEAwCHUK aviation;International Aviation_tmp_subsector_L3
International - Extra-EEAwCHUK aviation;International Aviation_tmp_subsector_L3
Light commercial vehicles;trn_freight_road_tmp_subsector_L3
Heavy goods vehicles;trn_freight_road_tmp_subsector_L3
Rail transport;Freight Rail_tmp_subsector_L3
Domestic coastal shipping;Domestic Ship_tmp_subsector_L3
Inland waterways;Domestic Ship_tmp_subsector_L3
Intra-EEA international maritime;International Ship_tmp_subsector_L3
Extra-EEA international maritime;International Ship_tmp_subsector_L3

